date,kse_close
2016-11-01,41299.87
2016-11-02,41742.75
2016-11-03,41974.46
2016-11-04,41841.56
2016-11-07,42133.54
2016-11-08,42113.91
2016-11-09,42203.63
2016-11-10,42703.99
2016-11-11,42849.119999999995
2016-11-14,42525.93
2016-11-15,42292.67
2016-11-16,42404.47
2016-11-17,42411.8
2016-11-18,42324.94
2016-11-21,42439.04
2016-11-22,42631.58
2016-11-23,42901.02
2016-11-24,42949.729999999996
2016-11-25,42999.659999999996
2016-11-28,43060.71
2016-11-29,42811.27
2016-11-30,42622.37
2016-12-01,42907.36
2016-12-02,43270.9
2016-12-05,43739.97
2016-12-06,44199.4
2016-12-07,44494.99
2016-12-08,44741.98
2016-12-09,45387.229999999996
2016-12-13,45857.89
2016-12-14,46185.27
2016-12-15,46358.350000000006
2016-12-16,46584.53
2016-12-19,46938.59
2016-12-20,47210.06
2016-12-21,46993.310000000005
2016-12-22,46699.78
2016-12-23,46633.99
2016-12-26,46689.729999999996
2016-12-27,46920.47
2016-12-28,47424.63
2016-12-29,47666.659999999996
2016-12-30,47806.97
2017-01-02,48240.28
2017-01-03,48827.55
2017-01-04,48704.99
2017-01-05,48713.63
2017-01-06,49038.229999999996
2017-01-09,49039.41
2017-01-10,48865.78999999999
2017-01-11,49371.6
2017-01-12,49517.02
2017-01-13,49210.5
2017-01-16,48888.54
2017-01-17,48678.65
2017-01-18,48642.21
2017-01-19,49013.82
2017-01-20,49364.83
2017-01-23,49876.18
2017-01-24,49968.92
2017-01-25,49756.77
2017-01-26,50192.36
2017-01-27,49963.77
2017-01-30,48972.24
2017-01-31,48757.67
2017-02-01,49455.86
2017-02-02,49665.97
2017-02-03,49555.83
2017-02-06,49630.04
2017-02-07,49859.39
2017-02-08,49874.96
2017-02-09,49908.15
2017-02-10,49925.08
2017-02-13,49965.63
2017-02-14,49767.91
2017-02-15,49214.15
2017-02-16,49588.3
2017-02-17,49375.71
2017-02-20,48929.119999999995
2017-02-21,49015.09
2017-02-22,48981.65
2017-02-23,49062.259999999995
2017-02-24,49007.99
2017-02-27,48520.75
2017-02-28,48534.229999999996
2017-03-01,48992.159999999996
2017-03-02,49696.08
2017-03-03,49623.810000000005
2017-03-06,49434.89
2017-03-07,49452.71
2017-03-08,49754.719999999994
2017-03-09,49392.44
2017-03-10,49191.75
2017-03-13,48655.719999999994
2017-03-14,48539.06
2017-03-15,48305.83
2017-03-16,48289.659999999996
2017-03-17,48409.350000000006
2017-03-20,48697.65
2017-03-21,49020.21
2017-03-22,49016.78999999999
2017-03-24,48971.05
2017-03-27,48680.159999999996
2017-03-28,48523.41
2017-03-29,48375.63
2017-03-30,47949.33
2017-03-31,48155.93
2017-04-03,48227.75
2017-04-04,48091.25
2017-04-05,47577.310000000005
2017-04-06,47356.6
2017-04-07,47889.37
2017-04-10,47942.950000000004
2017-04-11,48250.07
2017-04-12,48457.259999999995
2017-04-13,47950.58
2017-04-14,47577.06
2017-04-17,47125.119999999995
2017-04-18,46874.37
2017-04-19,47603.48
2017-04-20,48743.56
2017-04-21,49708.65
2017-04-24,50111.67
2017-04-25,49785.17
2017-04-26,49827.51
2017-04-27,49481.7
2017-04-28,49300.9
2017-05-02,48689.42
2017-05-03,48605.14
2017-05-04,49283.64
2017-05-05,49851.13
2017-05-08,50935.91
2017-05-09,51073.14
2017-05-10,51103.53
2017-05-11,51426.01
2017-05-12,51750.91
2017-05-15,52387.87
2017-05-16,51813.189999999995
2017-05-17,51511.41
2017-05-18,50956.6
2017-05-19,50742.03
2017-05-22,51373.51
2017-05-23,52146.97
2017-05-24,52876.46
2017-05-25,52869.01
2017-05-26,52636.87
2017-05-29,52138.9
2017-05-30,51453.159999999996
2017-05-31,50591.57
2017-06-01,48780.810000000005
2017-06-02,48555.3
2017-06-05,50120.93
2017-06-06,50144.63
2017-06-07,50162.810000000005
2017-06-08,49958.33
2017-06-09,49526.92
2017-06-12,47671.8
2017-06-13,48071.04
2017-06-14,47608.64
2017-06-15,47442.729999999996
2017-06-16,46858.56
2017-06-19,46593.340000000004
2017-06-20,44914.44
2017-06-21,45474.46
2017-06-22,46332.310000000005
2017-06-29,46711.850000000006
2017-06-30,46565.28999999999
2017-07-03,44665.41
2017-07-04,45394.06
2017-07-05,45413.42
2017-07-06,44823.11
2017-07-07,45222.15
2017-07-10,46273.810000000005
2017-07-11,44120.58
2017-07-12,43792.189999999995
2017-07-13,43783.55
2017-07-14,44337.44
2017-07-17,44523.21
2017-07-18,45636.36
2017-07-19,45418.7
2017-07-20,45059.93
2017-07-21,45294.39
2017-07-24,45529.2
2017-07-25,45917.9
2017-07-26,45908.39
2017-07-27,45905.759999999995
2017-07-28,45912.03
2017-07-31,46010.450000000004
2017-08-01,46533.43
2017-08-02,46949.04
2017-08-03,47084.340000000004
2017-08-04,46877.37
2017-08-07,46465.659999999996
2017-08-08,45979.7
2017-08-09,45998.810000000005
2017-08-10,45634.02
2017-08-11,45288.49
2017-08-15,43899.450000000004
2017-08-16,44186.96
2017-08-17,43136.06
2017-08-18,43078.380000000005
2017-08-21,42153.380000000005
2017-08-22,41983.159999999996
2017-08-23,42910.78999999999
2017-08-24,42268.619999999995
2017-08-25,42641.75
2017-08-28,41974.219999999994
2017-08-29,41233.08
2017-08-30,41323.65
2017-08-31,41206.99
2017-09-05,41779.2
2017-09-06,41389.99
2017-09-07,40958.55
2017-09-08,41401.02
2017-09-11,41126.83
2017-09-12,41279.3
2017-09-13,42310.119999999995
2017-09-14,42683.57
2017-09-15,42787.189999999995
2017-09-18,42841.41
2017-09-19,43253.259999999995
2017-09-20,43347.03
2017-09-21,42775.04
2017-09-22,42750.189999999995
2017-09-25,42743.65
2017-09-26,42666.229999999996
2017-09-27,42290.15
2017-09-28,42362.87
2017-09-29,42409.27
2017-10-02,42018.9
2017-10-03,41115.78
2017-10-04,40461
2017-10-05,40468.49
2017-10-06,41312.59
2017-10-09,41099.99
2017-10-10,40610.719999999994
2017-10-11,40503.68
2017-10-12,40237.53
2017-10-13,39846.78
2017-10-16,40791.39
2017-10-17,40724.96
2017-10-18,40733.450000000004
2017-10-19,41558.07
2017-10-20,42087.89
2017-10-23,41483.54
2017-10-24,41291.68
2017-10-25,41564.71
2017-10-26,41409.49
2017-10-27,41105.4
2017-10-30,40324.32
2017-10-31,39617.189999999995
2017-11-01,40453.64
2017-11-02,40498.87
2017-11-03,41064
2017-11-06,41030.77
2017-11-07,41049.219999999994
2017-11-08,41259.159999999996
2017-11-09,41790.159999999996
2017-11-10,41435.7
2017-11-13,41239.89
2017-11-14,40943.78
2017-11-15,40662.78999999999
2017-11-16,40813.310000000005
2017-11-17,40844.4
2017-11-20,40316.93
2017-11-21,40548.83
2017-11-22,40591.87
2017-11-23,40266.21
2017-11-24,40248.41
2017-11-27,40032.17
2017-11-28,39634.13
2017-11-29,39672.89
2017-11-30,40010.36
2017-12-04,40049.8
2017-12-05,39945.41
2017-12-06,39907.32
2017-12-07,38784.659999999996
2017-12-08,39080
2017-12-11,38481.7
2017-12-12,38525.11
2017-12-13,38819.65
2017-12-14,38223.55
2017-12-15,38645.9
2017-12-18,38383.97
2017-12-19,37919.42
2017-12-20,38208.06
2017-12-21,38715.77
2017-12-22,39470.89
2017-12-26,39525.75
2017-12-27,40146.729999999996
2017-12-28,40371.310000000005
2017-12-29,40471.48
2018-01-01,40711.04
2018-01-02,41486.87
2018-01-03,41544.27
2018-01-04,41908.71
2018-01-05,42523.99
2018-01-08,43112.119999999995
2018-01-09,42814.340000000004
2018-01-10,43630.74
2018-01-11,43395.28
2018-01-12,42931.87
2018-01-15,42347.49
2018-01-16,42939.68
2018-01-17,43358.97
2018-01-18,43580.880000000005
2018-01-19,44178.83
2018-01-22,44897.21
2018-01-23,44907.2
2018-01-24,45063.21
2018-01-25,44816.71
2018-01-26,44551.13
2018-01-29,44457.3
2018-01-30,44233.11
2018-01-31,44049.05
2018-02-01,44255.48
2018-02-02,44301.2
2018-02-06,43885.51
2018-02-07,44096.49
2018-02-08,43679.87
2018-02-09,43808.8
2018-02-12,43508.59
2018-02-13,43690.36
2018-02-14,43353.04
2018-02-15,42942.350000000006
2018-02-16,43627.1
2018-02-19,43572.67
2018-02-20,43294.950000000004
2018-02-21,42919.78
2018-02-22,43528.51
2018-02-23,43267.2
2018-02-26,42911.02
2018-02-27,42994.96
2018-02-28,43239.44
2018-03-01,43510.39
2018-03-02,43740.49
2018-03-05,43829.07
2018-03-06,43705.1
2018-03-07,43441.18
2018-03-08,43072.74
2018-03-09,43011.259999999995
2018-03-12,43468.24
2018-03-13,43618.07
2018-03-14,43407.719999999994
2018-03-15,43495.07
2018-03-16,43363.21
2018-03-19,43539.6
2018-03-20,44309.74
2018-03-21,44645.950000000004
2018-03-22,45030.219999999994
2018-03-26,45083.57
2018-03-27,45004.189999999995
2018-03-28,45172.99
2018-03-29,45489.619999999995
2018-03-30,45560.3
2018-04-02,45741.43
2018-04-03,46013.340000000004
2018-04-04,46103.61
2018-04-05,46560.82
2018-04-06,46637.619999999995
2018-04-09,46580.619999999995
2018-04-10,46476.729999999996
2018-04-11,46486.49
2018-04-12,46331.71
2018-04-13,46071.86
2018-04-16,45682.24
2018-04-17,45801.729999999996
2018-04-18,45478.63
2018-04-19,45387.77
2018-04-20,45259.340000000004
2018-04-23,45371.950000000004
2018-04-24,45876.7
2018-04-25,45718.340000000004
2018-04-26,45460.87
2018-04-27,45542.78
2018-04-30,45488.86
2018-05-02,45196.37
2018-05-03,44746.63
2018-05-04,44536.91
2018-05-07,44378.52
2018-05-08,44066.96
2018-05-09,43795
2018-05-10,43855.78
2018-05-11,43594.78999999999
2018-05-14,42498.86
